custom_cityid,City,Latitude,Longitude
1_Principe_da_Beira_2008,Principe da Beira,-12.4167,-64.4166
2_Mato_Grosso_2008,Mato Grosso,-15.0,-59.95
3_Abunã_2008,Abunã,-9.6954,-65.3597
4_Amapá_2008,Amapá,2.05,-50.8
5_Xinguara_2008,Xinguara,-7.1006,-49.948
6_Tonantins_2008,Tonantins,-2.8727,-67.8019
7_Rosário_2008,Rosário,-2.94,-44.26
8_Tocantinópolis_2008,Tocantinópolis,-6.3196,-47.42
9_Sinop_2008,Sinop,-11.85,-55.46
10_Novo_Airão_2008,Novo Airão,-2.6208,-60.9438
11_Porto_Nacional_2008,Porto Nacional,-10.7,-48.4199
12_Alvorada_2008,Alvorada,-12.47,-49.082
13_Caracaraí_2008,Caracaraí,1.8162,-61.1277
14_Barcelos_2008,Barcelos,-0.975,-62.9239
15_Pedreiras_2008,Pedreiras,-4.5696,-44.67
16_São_Gabriel_da_Cachoeira_2008,São Gabriel da Cachoeira,-0.1332,-67.0833
17_Fonte_Boa_2008,Fonte Boa,-2.5138,-66.0916
18_Apodi_2008,Apodi,-5.65,-37.8
19_Ceres_2008,Ceres,-15.3033,-49.6052
20_Viseu_2008,Viseu,-1.1965,-46.14
21_Santa_Cruz_Cabrália_2008,Santa Cruz Cabrália,-16.28,-39.03
22_Paracuru_2008,Paracuru,-3.3995,-39.04
23_Itupiranga_2008,Itupiranga,-5.12,-49.3
24_Portel_2008,Portel,-1.95,-50.82
25_Manicoré_2008,Manicoré,-5.8122,-61.2975
26_Barras_2008,Barras,-4.25,-42.3
27_Eirunepé_2008,Eirunepé,-6.66,-69.8738
28_Araçuaí_2008,Araçuaí,-16.8596,-42.0699
29_Itaberaí_2008,Itaberaí,-16.02,-49.81
30_Baturité_2008,Baturité,-4.3296,-38.88
31_Maracaju_2008,Maracaju,-21.61,-55.18
32_Nova_Cruz_2008,Nova Cruz,-6.4696,-35.44
33_Quaraí_2008,Quaraí,-30.38,-56.4599
34_Santa_Maria_da_Vitória_2008,Santa Maria da Vitória,-13.39,-44.21
35_Itambé_2008,Itambé,-15.2396,-40.63
36_Guanhães_2008,Guanhães,-18.78,-42.95
37_Jardim_2008,Jardim,-21.4799,-56.15
38_Iguape_2008,Iguape,-24.72,-47.5699
39_Rolim_de_Moura_2008,Rolim de Moura,-11.7302,-61.7806
40_Pires_do_Rio_2008,Pires do Rio,-17.2995,-48.28
41_Colinas_2008,Colinas,-6.0395,-44.24
42_São_Lourenço_do_Sul_2008,São Lourenço do Sul,-31.37,-51.98
43_Lapa_2008,Lapa,-25.76,-49.73
44_Pimenta_Bueno_2008,Pimenta Bueno,-11.64,-61.21
45_Granja_2008,Granja,-3.1195,-40.84
46_Sena_Madureira_2008,Sena Madureira,-9.07,-68.67
47_Alenquer_2008,Alenquer,-1.9396,-54.79
48_Canavieiras_2008,Canavieiras,-15.64,-38.96
49_Ipú_2008,Ipú,-4.3196,-40.7201
50_Miracema_2008,Miracema,-21.41,-42.2
51_Viana_2008,Viana,-3.2096,-45.0
52_Aripuana_2008,Aripuana,-9.17,-60.64
53_Conceição_do_Araguaia_2008,Conceição do Araguaia,-8.25,-49.29
54_Colíder_2008,Colíder,-10.8173,-55.4506
55_Niquelândia_2008,Niquelândia,-14.4696,-48.47
56_Óbidos_2008,Óbidos,-1.91,-55.52
57_Santa_Vitória_do_Palmar_2008,Santa Vitória do Palmar,-33.52,-53.37
58_Santa_Cruz_2008,Santa Cruz,-6.22,-36.03
59_Iporá_2008,Iporá,-16.45,-51.13
60_Icó_2008,Icó,-6.4,-38.85
61_Ubaitaba_2008,Ubaitaba,-14.3,-39.33
62_Acaraú_2008,Acaraú,-2.8896,-40.12
63_Tauá_2008,Tauá,-5.9995,-40.31
64_Almenara_2008,Almenara,-16.17,-40.7
65_Pontes_e_Lacerda_2008,Pontes e Lacerda,-15.2196,-59.35
66_Jaguarão_2008,Jaguarão,-32.56,-53.37
67_Iturama_2008,Iturama,-19.73,-50.2
68_Novo_Horizonte_2008,Novo Horizonte,-21.4596,-49.22
69_Grajau_2008,Grajau,-5.81,-46.15
70_Presidente_Dutra_2008,Presidente Dutra,-5.25,-44.52
71_Tucano_2008,Tucano,-10.9696,-38.79
72_Barra_do_Bugres_2008,Barra do Bugres,-15.0696,-57.19
73_Jacareacanga_2008,Jacareacanga,-6.2666,-57.65
74_Campo_Maior_2008,Campo Maior,-4.82,-42.18
75_São_Luiz_Gonzaga_2008,São Luiz Gonzaga,-28.41,-54.96
76_Bocaiúva_2008,Bocaiúva,-17.1096,-43.81
77_Paranaíba_2008,Paranaíba,-19.6796,-51.2
78_Maués_2008,Maués,-3.3896,-57.72
79_Capitão_Poço_2008,Capitão Poço,-1.7496,-47.09
80_Coroatá_2008,Coroatá,-4.1296,-44.15
81_Morrinhos_2008,Morrinhos,-17.73,-49.11
82_Osório_2008,Osório,-29.88,-50.27
83_Januária_2008,Januária,-15.48,-44.37
84_Itapecuru_Mirim_2008,Itapecuru Mirim,-3.4,-44.36
85_Jacarezinho_2008,Jacarezinho,-23.1599,-49.98
86_Xique-Xique_2008,Xique-Xique,-10.82,-42.73
87_Barreiros_2008,Barreiros,-8.8296,-35.2
88_Oriximiná_2008,Oriximiná,-1.7596,-55.87
89_Açu_2008,Açu,-5.5796,-36.9101
90_São_Francisco_do_Sul_2008,São Francisco do Sul,-26.2396,-48.6
91_Guaira_2008,Guaira,-24.09,-54.27
92_Cristalina_2008,Cristalina,-16.77,-47.61
93_Rosário_do_Sul_2008,Rosário do Sul,-30.25,-54.92
94_Diamantina_2008,Diamantina,-18.24,-43.61
95_Nanuque_2008,Nanuque,-17.84,-40.35
96_Remanso_2008,Remanso,-9.5996,-42.11
97_Joaçaba_2008,Joaçaba,-27.17,-51.5
98_Pinheiro_2008,Pinheiro,-2.5196,-45.09
99_Mineiros_2008,Mineiros,-17.5695,-52.56
100_Palmas_2008,Palmas,-26.48,-52.0
101_Russas_2008,Russas,-4.94,-37.98
102_Laguna_2008,Laguna,-28.48,-48.78
103_Alta_Floresta_2008,Alta Floresta,-9.9,-55.91
104_Bom_Jesus_da_Lapa_2008,Bom Jesus da Lapa,-13.2495,-43.44
105_Aquidauana_2008,Aquidauana,-20.4696,-55.79
106_Chapadinha_2008,Chapadinha,-3.7395,-43.36
107_Frutal_2008,Frutal,-20.03,-48.94
108_Salinópolis_2008,Salinópolis,-0.6095,-47.34
109_Palmeira_dos_Índios_2008,Palmeira dos Índios,-9.4166,-36.6166
110_Garça_2008,Garça,-22.22,-49.66
111_Jaguaquara_2008,Jaguaquara,-13.53,-39.97
112_Canoinhas_2008,Canoinhas,-26.18,-50.4
113_Brumado_2008,Brumado,-14.21,-41.67
114_Castro_2008,Castro,-24.79,-50.01
115_Penedo_2008,Penedo,-10.2696,-36.58
116_Salgueiro_2008,Salgueiro,-8.0596,-39.13
117_Canindé_2008,Canindé,-4.35,-39.31
118_Araranguá_2008,Araranguá,-28.94,-49.5
119_Imbituba_2008,Imbituba,-28.2296,-48.66
120_Inhumas_2008,Inhumas,-16.36,-49.5
121_Aracati_2008,Aracati,-4.56,-37.77
122_Camocim_2008,Camocim,-2.9,-40.85
123_Piripiri_2008,Piripiri,-4.2696,-41.79
124_Cametá_2008,Cametá,-2.2396,-49.51
125_Irati_2008,Irati,-25.47,-50.66
126_Leopoldina_2008,Leopoldina,-21.53,-42.64
127_Breves_2008,Breves,-1.68,-50.49
128_Itaberaba_2008,Itaberaba,-12.5196,-40.3
129_Campo_Belo_2008,Campo Belo,-20.8896,-45.28
130_Itamaraju_2008,Itamaraju,-17.0396,-39.5299
131_Capanema_2008,Capanema,-1.19,-47.18
132_Goianésia_2008,Goianésia,-15.3096,-49.13
133_Guaxupé_2008,Guaxupé,-21.29,-46.71
134_Ponte_Nova_2008,Ponte Nova,-20.4096,-42.9
135_Rio_Verde_2008,Rio Verde,-17.8196,-50.93
136_Senhor_do_Bonfim_2008,Senhor do Bonfim,-10.4496,-40.19
137_Floriano_2008,Floriano,-6.7696,-43.03
138_Barra_do_Corda_2008,Barra do Corda,-5.5096,-45.26
139_Quixadá_2008,Quixadá,-4.97,-39.02
140_Araguaína_2008,Araguaína,-7.19,-48.21
141_Tefé_2008,Tefé,-3.36,-64.7
142_Itacoatiara_2008,Itacoatiara,-3.14,-58.44
143_Batatais_2008,Batatais,-20.89,-47.59
144_Barra_do_Garças_2008,Barra do Garças,-15.8796,-52.26
145_Andradina_2008,Andradina,-20.9096,-51.3799
146_Crateús_2008,Crateús,-5.1656,-40.666
147_Camaquã_2008,Camaquã,-30.8396,-51.81
148_Registro_2008,Registro,-24.49,-47.84
149_Coari_2008,Coari,-4.08,-63.13
150_Penápolis_2008,Penápolis,-21.41,-50.08
151_Caicó_2008,Caicó,-6.4596,-37.1
152_São_José_de_Ribamar_2008,São José de Ribamar,-2.55,-44.07
153_Concórdia_2008,Concórdia,-27.23,-52.03
154_São_Gabriel_2008,São Gabriel,-30.32,-54.32
155_Estância_2008,Estância,-11.2696,-37.45
156_Itapipoca_2008,Itapipoca,-3.4995,-39.58
157_Nova_Viçosa_2008,Nova Viçosa,-17.88,-39.37
158_Formiga_2008,Formiga,-20.46,-45.43
159_Janaúba_2008,Janaúba,-15.7996,-43.31
160_Vacaria_2008,Vacaria,-28.4996,-50.94
161_Serrinha_2008,Serrinha,-11.6496,-39.01
162_Cruzeiro_do_Sul_2008,Cruzeiro do Sul,-7.63,-72.67
163_Arcoverde_2008,Arcoverde,-8.42,-37.07
164_Bragança_2008,Bragança,-1.05,-46.77
165_Picos_2008,Picos,-7.08,-41.44
166_Timbaúba_2008,Timbaúba,-7.4996,-35.32
167_Ariquemes_2008,Ariquemes,-9.9396,-63.08
168_Guanambi_2008,Guanambi,-14.2296,-42.79
169_Telêmaco_Borba_2008,Telêmaco Borba,-24.33,-50.62
170_Manacapuru_2008,Manacapuru,-3.2896,-60.62
171_Santa_Rosa_2008,Santa Rosa,-27.8695,-54.46
172_Carazinho_2008,Carazinho,-28.29,-52.8
173_São_Borja_2008,São Borja,-28.6596,-56.01
174_Itapetinga_2008,Itapetinga,-15.25,-40.25
175_Caratinga_2008,Caratinga,-19.79,-42.14
176_Pirapora_2008,Pirapora,-17.33,-44.93
177_Pirassununga_2008,Pirassununga,-21.99,-47.43
178_Canela_2008,Canela,-29.36,-50.81
179_Fernandópolis_2008,Fernandópolis,-20.2696,-50.26
180_Tupã_2008,Tupã,-21.93,-50.52
181_Itapeva_2008,Itapeva,-23.9796,-48.88
182_Vilhena_2008,Vilhena,-12.7166,-60.1166
183_Valença_2008,Valença,-13.3596,-39.08
184_Catalão_2008,Catalão,-18.18,-47.95
185_Irecê_2008,Irecê,-11.3,-41.87
186_Caçador_2008,Caçador,-26.77,-51.02
187_Curvelo_2008,Curvelo,-18.7596,-44.43
188_Parintins_2008,Parintins,-2.61,-56.74
189_Gurupi_2008,Gurupi,-11.7196,-49.06
190_Ji-Paraná_2008,Ji-Paraná,-10.8333,-61.967
191_Santo_Ângelo_2008,Santo Ângelo,-28.3,-54.28
192_Rio_Negro_2008,Rio Negro,-26.1,-49.79
193_Santa_Inês_2008,Santa Inês,-3.66,-45.39
194_Balsas_2008,Balsas,-7.52,-46.05
195_Jaboticabal_2008,Jaboticabal,-21.25,-48.33
196_Guajara-Miram_2008,Guajara-Miram,-10.8,-65.3499
197_Paragominas_2008,Paragominas,-2.9596,-47.49
198_Iguatu_2008,Iguatu,-6.36,-39.3
199_Paracatu_2008,Paracatu,-17.1996,-46.87
200_Altamira_2008,Altamira,-3.1996,-52.21
201_Ijuí_2008,Ijuí,-28.3895,-53.9199
202_Goiana_2008,Goiana,-7.5596,-35.0
203_Porto_União_2008,Porto União,-26.2396,-51.08
204_Bacabal_2008,Bacabal,-4.23,-44.8
205_Cachoeira_do_Sul_2008,Cachoeira do Sul,-30.03,-52.91
206_Campo_Murao_2008,Campo Murao,-24.0496,-52.42
207_Tucuruí_2008,Tucuruí,-3.68,-49.72
208_São_João_da_Boa_Vista_2008,São João da Boa Vista,-21.98,-46.79
209_Jataí_2008,Jataí,-17.8796,-51.75
210_São_Mateus_2008,São Mateus,-18.7296,-39.86
211_Itaúna_2008,Itaúna,-20.06,-44.57
212_São_João_del_Rei_2008,São João del Rei,-21.13,-44.25
213_Três_Lagoas_2008,Três Lagoas,-20.79,-51.72
214_Abaetetuba_2008,Abaetetuba,-1.7245,-48.8849
215_Itumbiara_2008,Itumbiara,-18.3996,-49.21
216_Formosa_2008,Formosa,-15.5395,-47.34
217_Avaré_2008,Avaré,-23.11,-48.93
218_Lavras_2008,Lavras,-21.2496,-45.01
219_Araxá_2008,Araxá,-19.5796,-46.95
220_Codó_2008,Codó,-4.4796,-43.88
221_Porto_Santana_2008,Porto Santana,-0.0396,-51.18
222_Cáceres_2008,Cáceres,-16.05,-57.51
223_Ituiutaba_2008,Ituiutaba,-18.97,-49.46
224_Paulo_Afonso_2008,Paulo Afonso,-9.3307,-38.2657
225_Assis_2008,Assis,-22.6596,-50.42
226_Brusque_2008,Brusque,-27.13,-48.93
227_Nova_Lima_2008,Nova Lima,-19.98,-43.85
228_Santana_do_Livramento_2008,Santana do Livramento,-30.88,-55.53
229_Itanhaem_2008,Itanhaem,-24.18,-46.8
230_Muriaé_2008,Muriaé,-21.13,-42.39
231_Tubarão_2008,Tubarão,-28.48,-49.02
232_Itaituba_2008,Itaituba,-4.2586,-55.925
233_Patos_2008,Patos,-7.0196,-37.29
234_Tatuí_2008,Tatuí,-23.35,-47.86
235_Bento_Gonçalves_2008,Bento Gonçalves,-29.1695,-51.52
236_Ponta_Porã_2008,Ponta Porã,-22.53,-55.73
237_Juazeiro_2008,Juazeiro,-9.42,-40.5
238_Erechim_2008,Erechim,-27.63,-52.27
239_Corumbá_2008,Corumbá,-19.016,-57.65
240_Araguari_2008,Araguari,-18.64,-48.2
241_Arapongas_2008,Arapongas,-23.41,-51.43
242_Trindade_2008,Trindade,-16.65,-49.5
243_Ourinhos_2008,Ourinhos,-22.97,-49.87
244_Ubá_2008,Ubá,-21.1196,-42.95
245_Passos_2008,Passos,-20.71,-46.61
246_Teófilo_Otoni_2008,Teófilo Otoni,-17.87,-41.5
247_Barretos_2008,Barretos,-20.55,-48.58
248_Linhares_2008,Linhares,-19.39,-40.05
249_Bagé_2008,Bagé,-31.32,-54.1
250_Apucarana_2008,Apucarana,-23.55,-51.47
251_Catanduva_2008,Catanduva,-21.14,-48.98
252_Garanhuns_2008,Garanhuns,-8.89,-36.5
253_Conselheiro_Lafaiete_2008,Conselheiro Lafaiete,-20.67,-43.79
254_Santa_Cruz_do_Sul_2008,Santa Cruz do Sul,-29.71,-52.44
255_Botucatu_2008,Botucatu,-22.8796,-48.45
256_Pouso_Alegre_2008,Pouso Alegre,-22.22,-45.94
257_Jaú_2008,Jaú,-22.2896,-48.57
258_Barbacena_2008,Barbacena,-21.22,-43.77
259_Porto_Seguro_2008,Porto Seguro,-16.4296,-39.08
260_Uruguaiana_2008,Uruguaiana,-29.7696,-57.09
261_Alagoinhas_2008,Alagoinhas,-12.14,-38.43
262_Itapetininga_2008,Itapetininga,-23.59,-48.04
263_Bragança_Paulista_2008,Bragança Paulista,-22.95,-46.55
264_Jaraguá_do_Sul_2008,Jaraguá do Sul,-26.48,-49.1
265_Pindamonhangaba_2008,Pindamonhangaba,-22.92,-45.47
266_Caxias_2008,Caxias,-4.833,-43.35
267_Jequié_2008,Jequié,-13.85,-40.08
268_Castanhal_2008,Castanhal,-1.2896,-47.93
269_Parnaíba_2008,Parnaíba,-2.91,-41.77
270_Paranaguá_2008,Paranaguá,-25.5279,-48.5345
271_Macaé_2008,Macaé,-22.38,-41.79
272_Cabo_de_Santo_Agostinho_2008,Cabo de Santo Agostinho,-8.29,-35.03
273_Poços_de_Caldas_2008,Poços de Caldas,-21.78,-46.57
274_Guarapuava_2008,Guarapuava,-25.38,-51.48
275_Rondonópolis_2008,Rondonópolis,-16.4695,-54.64
276_Sobral_2008,Sobral,-3.69,-40.35
277_Barreiras_2008,Barreiras,-12.14,-45.0
278_Rio_Largo_2008,Rio Largo,-9.48,-35.84
279_Xapeco_2008,Xapeco,-27.1,-52.64
280_Dourados_2008,Dourados,-22.23,-54.81
281_Lajes_2008,Lajes,-27.8096,-50.31
282_Carpina_2008,Carpina,-7.84,-35.26
283_Marabá_2008,Marabá,-5.35,-49.116
284_Barra_Mansa_2008,Barra Mansa,-22.56,-44.17
285_Araçatuba_2008,Araçatuba,-21.21,-50.45
286_Nova_Friburgo_2008,Nova Friburgo,-22.26,-42.54
287_Passo_Fundo_2008,Passo Fundo,-28.25,-52.42
288_Rio_Claro_2008,Rio Claro,-22.41,-47.56
289_Cachoeiro_de_Itapemirim_2008,Cachoeiro de Itapemirim,-20.85,-41.13
290_Arapiraca_2008,Arapiraca,-9.75,-36.67
291_Rio_Grande_2008,Rio Grande,-32.0495,-52.12
292_Divinópolis_2008,Divinópolis,-20.1495,-44.9
293_Sete_Lagoas_2008,Sete Lagoas,-19.4496,-44.25
294_Mossoró_2008,Mossoró,-5.19,-37.34
295_Timon_2008,Timon,-5.115,-42.845
296_Guaratinguetá_2008,Guaratinguetá,-22.82,-45.19
297_Criciúma_2008,Criciúma,-28.68,-49.39
298_São_Carlos_2008,São Carlos,-22.02,-47.89
299_Presidente_Prudente_2008,Presidente Prudente,-22.12,-51.39
300_Marília_2008,Marília,-22.21,-49.95
301_Imperatriz_2008,Imperatriz,-5.52,-47.49
302_Itabuna_2008,Itabuna,-14.7896,-39.28
303_Juazeiro_do_Norte_2008,Juazeiro do Norte,-7.21,-39.32
304_Santarém_2008,Santarém,-2.4333,-54.7
305_Ilhéus_2008,Ilhéus,-14.78,-39.05
306_Boa_Vista_2008,Boa Vista,2.8161,-60.666
307_Palmas_2008,Palmas,-10.2377,-48.2878
308_Caruaru_2008,Caruaru,-8.28,-35.98
309_Santa_Maria_2008,Santa Maria,-29.6833,-53.8
310_Várzea_Grande_2008,Várzea Grande,-15.65,-56.14
311_Governador_Valadares_2008,Governador Valadares,-18.87,-41.97
312_Cascavel_2008,Cascavel,-24.9596,-53.46
313_Rio_Branco_2008,Rio Branco,-9.9666,-67.8
314_Uberaba_2008,Uberaba,-19.78,-47.95
315_Petrolina_2008,Petrolina,-9.38,-40.51
316_Cabo_Frio_2008,Cabo Frio,-22.89,-42.04
317_Crato_2008,Crato,-7.4639,-63.04
318_Crato_2008,Crato,-7.2296,-39.42
319_Petrópolis_2008,Petrópolis,-22.5095,-43.2
320_Limeira_2008,Limeira,-22.5495,-47.4
321_Ponta_Grossa_2008,Ponta Grossa,-25.09,-50.16
322_Blumenau_2008,Blumenau,-26.92,-49.09
323_Franca_2008,Franca,-20.53,-47.39
324_Porto_Velho_2008,Porto Velho,-8.75,-63.9
325_Vitória_da_Conquista_2008,Vitória da Conquista,-14.85,-40.84
326_Anápolis_2008,Anápolis,-16.3196,-48.96
327_Itu_2008,Itu,-23.26,-47.3
328_Pelotas_2008,Pelotas,-31.75,-52.33
329_Itajaí_2008,Itajaí,-26.8996,-48.68
330_Maringá_2008,Maringá,-23.4095,-51.93
331_Montes_Claros_2008,Montes Claros,-16.72,-43.86
332_Bauru_2008,Bauru,-22.33,-49.08
333_Piracicaba_2008,Piracicaba,-22.71,-47.64
334_São_José_do_Rio_Preto_2008,São José do Rio Preto,-20.7996,-49.39
335_Caxias_do_Sul_2008,Caxias do Sul,-29.18,-51.17
336_Campos_2008,Campos,-21.75,-41.32
337_Taubaté_2008,Taubaté,-23.0195,-45.56
338_Ipatinga_2008,Ipatinga,-19.4796,-42.52
339_Campina_Grande_2008,Campina Grande,-7.23,-35.88
340_Foz_do_Iguaçu_2008,Foz do Iguaçu,-25.5235,-54.53
341_Volta_Redonda_2008,Volta Redonda,-22.5196,-44.095
342_Juiz_de_Fora_2008,Juiz de Fora,-21.77,-43.375
343_Americana_2008,Americana,-22.7499,-47.33
344_Feira_de_Santana_2008,Feira de Santana,-12.25,-38.97
345_Macapá_2008,Macapá,0.033,-51.05
346_Jundiaí_2008,Jundiaí,-23.2,-46.88
347_Londrina_2008,Londrina,-23.3,-51.18
348_Ribeirão_Preto_2008,Ribeirão Preto,-21.17,-47.83
349_Sorocaba_2008,Sorocaba,-23.49,-47.47
350_Uberlândia_2008,Uberlândia,-18.9,-48.28
351_Canoas_2008,Canoas,-29.92,-51.18
352_Santo_André_2008,Santo André,-23.6528,-46.5278
353_São_José_dos_Pinhais_2008,São José dos Pinhais,-25.57,-49.18
354_Aracaju_2008,Aracaju,-10.9,-37.12
355_Jaboatao_2008,Jaboatao,-8.11,-35.02
356_São_José_dos_Campos_2008,São José dos Campos,-23.2,-45.8799
357_Campo_Grande_2008,Campo Grande,-20.45,-54.6166
358_Cuiabá_2008,Cuiabá,-15.5696,-56.085
359_Nova_Iguaçu_2008,Nova Iguaçu,-22.74,-43.47
360_Novo_Hamburgo_2008,Novo Hamburgo,-29.7096,-51.14
361_Teresina_2008,Teresina,-5.095,-42.78
362_Olinda_2008,Olinda,-8.0,-34.85
363_João_Pessoa_2008,João Pessoa,-7.1011,-34.8761
364_Natal_2008,Natal,-6.9838,-60.2699
365_Joinville_2008,Joinville,-26.32,-48.8399
366_Florianópolis_2008,Florianópolis,-27.58,-48.52
367_São_Luís_2008,São Luís,-2.516,-44.266
368_Natal_2008,Natal,-5.78,-35.24
369_Maceió_2008,Maceió,-9.62,-35.73
370_Vila_Velha_2008,Vila Velha,-20.3676,-40.318
371_Vila_Velha_2008,Vila Velha,3.2167,-51.2167
372_Niterói_2008,Niterói,-22.9,-43.1
373_Vitória_2008,Vitória,-20.324,-40.366
374_Santos_2008,Santos,-23.9537,-46.3329
375_Manaus_2008,Manaus,-3.1,-60.0
376_Goiânia_2008,Goiânia,-16.72,-49.3
377_Belém_2008,Belém,-1.45,-48.48
378_Campinas_2008,Campinas,-22.9,-47.1
379_Curitiba_2008,Curitiba,-25.42,-49.32
380_Salvador_2008,Salvador,-12.97,-38.48
381_Fortaleza_2008,Fortaleza,-3.75,-38.58
382_Recife_2008,Recife,-8.0756,-34.9156
383_Brasília_2008,Brasília,-15.7833,-47.9161
384_Porto_Alegre_2008,Porto Alegre,-30.05,-51.2
385_Belo_Horizonte_2008,Belo Horizonte,-19.915,-43.915
386_Rio_de_Janeiro_2008,Rio de Janeiro,-22.925,-43.225
387_São_Paulo_2008,São Paulo,-23.5587,-46.625
